,Character,Traditional,HSK,FrequencyRank,Pinyin 1,Pinyin 2,Definition,Hanzi,Zein.se definition,Example words,Formatted Words
1024,祖,,5.0,1025,zǔ, jiē,"ancestor, forefather; grandfather",祖," [zǔ] (祖先 zǔxiān) ancestor; 祖母 zǔmǔ grandmothe<BR><BR>rank = 806
",祖先; 祖母,<span class=examplehanzi>祖</span>先; <span class=examplehanzi>祖</span>母
1025,丝,糸   ,5.0,1026,sī,,silk; fine thread; wire; strings,丝," [sī] silk, threa<BR><BR>rank = 798
",,
1026,翻,,4.0,1027,fān,,"flip over, upset, capsize",翻," [fān] turn over; 翻译 fānyì translat<BR><BR>rank = 815
",翻译,<span class=examplehanzi>翻</span>译
1027,暴,,6.0,1028,bào," pù, bó","violent, brutal, tyrannical",暴," [bào] violent, sudden; 暴露 expose<BR>[pù] (=曝<BR><BR>rank = 1075
",暴露; 曝,<span class=examplehanzi>暴</span>露; 曝
1028,森,,4.0,1029,sēn,,forest; luxuriant vegetation,森," [sēn] (=森林 sēnlín) fores<BR><BR>rank = 1383
",森林,<span class=examplehanzi>森</span>林
1029,塔,,5.0,1030,tǎ,,"tower, spire, tall building",塔," [tǎ] pagoda, tower<BR>[da] 泥圪塔; 树圪<BR><BR>rank = 1493
",泥圪塔; 树圪,泥圪<span class=examplehanzi>塔</span>; 树圪
1030,默,,4.0,1031,mò,,"silent; quiet, still; dark",默," [mò] silent; 默默 mòmò silently; 沉默 chénmò reticent; 幽默 yōumò humo<BR><BR>rank = 983
",默默; 沉默; 幽默,<span class=examplehanzi>默</span><span class=examplehanzi>默</span>; 沉<span class=examplehanzi>默</span>; 幽<span class=examplehanzi>默</span>
1031,握,,4.0,1032,wò,,"grasp, hold fast, take by hand",握," [wò] hold, grasp; 掌握 comprehen<BR><BR>rank = 1178
",掌握,掌<span class=examplehanzi>握</span>
1032,戏,戲   ,3.0,1033,xì," xī, hū, huī","theatrical play, show",戏," [xì] (戏剧 xìjù) drama, play; 游戏 yóuxì gam<BR><BR>rank = 1093
",戏剧; 游戏,<span class=examplehanzi>戏</span>剧; 游<span class=examplehanzi>戏</span>
1033,隐,隱   ,6.0,1034,yǐn, yìn,"hide, conceal; hidden, secret",隐," [)</TD><TD>[yǐn] hidden; 隐约 yǐnyuē faint, indistinc<BR><BR>rank = 1047
",隐约,<span class=examplehanzi>隐</span>约
1034,熟,,4.0,1035,shú, shóu,well-cooked; ripe; familiar with,熟," [shú] cooked, ripe, familiar; 熟悉 shúxī know well<BR>[shóu] &LT;colloquial variant&GT<BR><BR>rank = 1013
",熟悉,<span class=examplehanzi>熟</span>悉
1035,骨,,5.0,1036,gǔ," gū, gú","bone; skeleton; frame, framework",骨," [gǔ] (骨头 gǔtou) bone<BR>[gū] 骨碌 gūlu rol<BR><BR>rank = 1016
",骨头; 骨碌,<span class=examplehanzi>骨</span>头; <span class=examplehanzi>骨</span>碌
1036,访,訪   ,4.0,1037,fǎng,,"visit; ask, inquire",访," [fǎng] (=访问 fǎngwèn) visit; 采访 gather materia<BR><BR>rank = 856
",访问; 采访,<span class=examplehanzi>访</span>问; 采<span class=examplehanzi>访</span>
1037,弱,,5.0,1038,ruò,,"weak; fragile, delicate",弱," [ruò] weak; 微弱 wēiruò faint; 软弱 ruǎnruò feebl<BR><BR>rank = 1165
",微弱; 软弱,微<span class=examplehanzi>弱</span>; 软<span class=examplehanzi>弱</span>
1038,蒙,蒙 矇 濛 ,6.0,1039,méng," mēng, měng,máng",cover; ignorant; suffer; mongolia,蒙," [méng] to cover, ignorant<BR>[mēng] cheat<BR>[Měng] 蒙古 Měnggǔ Mongoli<BR><BR>rank = 901
",蒙古,<span class=examplehanzi>蒙</span>古
1039,歌,,2.0,1040,gē,,"song, lyrics; sing, chant; praise",歌," [gē] song; 唱歌 chànggē to sin<BR><BR>rank = 726
",唱歌,唱<span class=examplehanzi>歌</span>
1040,店,,1.0,1041,diàn,,"shop, store; inn, hotel",店," [diàn] (=商店 shāngdiàn) store, shop; 饭店 fàndiàn restauran<BR><BR>rank = 814
",商店; 饭店,商<span class=examplehanzi>店</span>; 饭<span class=examplehanzi>店</span>
1041,鬼,,5.0,1042,guǐ,,ghost; spirit of dead; devil,鬼," [guǐ] ghost; (魔鬼 móguǐ) devil; 鬼子 guǐzi foreign devi<BR><BR>rank = 1015
",魔鬼; 鬼子,魔<span class=examplehanzi>鬼</span>; <span class=examplehanzi>鬼</span>子
1042,软,軟   ,4.0,1043,ruǎn,,"soft, flexible, pliable; weak",软," [ruǎn] soft; 软件 ruǎnjiàn softwar<BR><BR>rank = 627
",软件,<span class=examplehanzi>软</span>件
1043,典,,3.0,1044,diǎn,,"law, canon; documentation; classic, scripture",典," [diǎn] 典型 diǎnxíng typical; 古典 classical; 词典 dictionar<BR><BR>rank = 1189
",典型; 古典; 词典,<span class=examplehanzi>典</span>型; 古<span class=examplehanzi>典</span>; 词<span class=examplehanzi>典</span>
1044,欲,慾 欲  ,6.0,1045,yù,,"desire, want, long for; intend",欲," [yù] desire, wish; 欲望 yùwàng desire, lus<BR><BR>rank = 1018
",欲望,<span class=examplehanzi>欲</span>望
1045,萨,,,1046,sà,,Buddhist gods or immortals,萨," [sà] 菩萨 púsà bodhisattva, benevolent being, &LT;family name&GT<BR><BR>rank = 1372
",菩萨,菩<span class=examplehanzi>萨</span>
1046,伙,夥 伙  ,5.0,1047,huǒ, huo,"companion, colleague; utensils",伙," [huǒ] &LT;classifier for groups, crowds, bands etc.&GT;, group of people. (=伙伴 huǒbàn) partner; 家伙 jiāhuo fello<BR><BR>rank = 995
",伙伴; 家伙,<span class=examplehanzi>伙</span>伴; 家<span class=examplehanzi>伙</span>
1047,遭,,6.0,1048,zāo,,"come across, meet with, encounter",遭," [zāo] meet with disaste<BR><BR>rank = 1208
",,
1048,盘,槃 盤  ,3.0,1049,pán,,"tray, plate, dish; examine",盘," [pán] disk, tray; 算盘 suànpán abacus; 棋盘 chessboar<BR><BR>rank = 975
",算盘; 棋盘,算<span class=examplehanzi>盘</span>; 棋<span class=examplehanzi>盘</span>
1049,爸,,1.0,1050,bà,,"father, papa",爸," [bà] dad; 爸爸 bàba dadd<BR><BR>rank = 991
",爸爸,<span class=examplehanzi>爸</span><span class=examplehanzi>爸</span>
1050,扩,擴   ,4.0,1051,kuò,,"expand, enlarge, stretch",扩," [kuò] 扩大 kuòdà enlarge, expan<BR><BR>rank = 1342
",扩大,<span class=examplehanzi>扩</span>大
1051,盖,蓋   ,5.0,1052,gài," gě, hé","cover, hide, protect",盖," [gài] cover, shell; 盖子 li<BR><BR>rank = 1147
",盖子,<span class=examplehanzi>盖</span>子
1052,弄,,4.0,1053,nòng, lòng,"do, play or fiddle with; alley",弄," [nòng] do; 弄臣 nòngchén court jester<BR>[lòng] 里弄 alle<BR><BR>rank = 1042
",弄臣; 里弄,<span class=examplehanzi>弄</span>臣; 里<span class=examplehanzi>弄</span>
1053,雄,,5.0,1054,xióng,,male of species; hero; manly,雄," [xióng] powerful, male; 英雄 yīngxióng hero; 雄伟 xióngwěi grand; 雄鸡 xióngjī rooste<BR><BR>rank = 807
",英雄; 雄伟; 雄鸡,英<span class=examplehanzi>雄</span>; <span class=examplehanzi>雄</span>伟; <span class=examplehanzi>雄</span>鸡
1054,稳,穩   ,5.0,1055,wěn,,"stable, firm, solid, steady",稳," [wěn] (稳定 wěndìng) stable, steady; 稳当 wěndang reliabl<BR><BR>rank = 1198
",稳定; 稳当,<span class=examplehanzi>稳</span>定; <span class=examplehanzi>稳</span>当
1055,忘,,3.0,1056,wàng, wáng,"forget; neglect; miss, omit",忘," [wàng] (=忘记 wàngjì) forget<BR>[wáng] 忘<BR><BR>rank = 930
",忘记; 忘,<span class=examplehanzi>忘</span>记; <span class=examplehanzi>忘</span>
1056,亿,億   ,4.0,1057,yì,,hundred million; many,亿," [yì] 100 millio<BR><BR>rank = 839
",,
1057,刺,,5.0,1058,cì, qì,"stab; prick, irritate; prod",刺," [cì] thorn, prick, stab, irritate, (=刺杀 cìshā) assassinate<BR>[cī] wha<BR><BR>rank = 964
",刺杀,<span class=examplehanzi>刺</span>杀
1058,拥,擁   ,5.0,1059,yǒng, yōng,"embrace, hug, squeeze; crowd",拥," [yōng] embrace, crowd; 拥护 yōnghù support; 拥挤 yōngjǐ crowde<BR><BR>rank = 1108
",拥护; 拥挤,<span class=examplehanzi>拥</span>护; <span class=examplehanzi>拥</span>挤
1059,徒,,6.0,1060,tú,,"disciple, follower; go on foot",徒," [tú] on foot, follower; 徒弟 túdi apprentice; 匪徒 fěitú gangste<BR><BR>rank = 984
",徒弟; 匪徒,<span class=examplehanzi>徒</span>弟; 匪<span class=examplehanzi>徒</span>
1060,姆,,6.0,1061,mǔ,,child's governess; matron,姆," [mǔ] nurs<BR><BR>rank = 1690
",,
1061,杨,,,1062,yáng,,"willow, poplar, aspen; surname",杨," [yáng] poplar tree; 三角叶杨 sānjiǎoyèyáng cottonwoo<BR><BR>rank = 583
",三角叶杨,三角叶<span class=examplehanzi>杨</span>
1062,齐,齊   ,4.0,1063,qí," jī, jì, jiǎn, zhāi, zī",6576656E2C20756E69666F726D2C206F6620657175616C206C656E677468,齐," [qí] 整齐 zhěngqí neat; 一齐 yìqí together<BR>[zhāi] (=斋)<BR>[zī] (=粢<BR><BR>rank = 878
",整齐; 一齐; 斋; 粢,整<span class=examplehanzi>齐</span>; 一<span class=examplehanzi>齐</span>; 斋; 粢
1063,赛,賽   ,3.0,1064,sài,,"compete, contend; contest, race",赛," [sài] contest; 比赛 match, rac<BR><BR>rank = 715
",比赛,比<span class=examplehanzi>赛</span>
1064,趣,,3.0,1065,qù," cù, qū, cǒu, zōu",what attracts one's attention,趣," [qù] interest, fun; 兴趣 interest; 趣味 interest, tast<BR><BR>rank = 1095
",兴趣; 趣味,兴<span class=examplehanzi>趣</span>; <span class=examplehanzi>趣</span>味
1065,曲,曲 麴  ,6.0,1066,qū, qǔ,"crooked, bent; wrong, false",曲," [qū] (=弯曲 wānqū) curved<BR>[qǔ] melod<BR><BR>rank = 866
",弯曲,弯<span class=examplehanzi>曲</span>
1066,刀,,4.0,1067,dāo,,knife; old coin; measure,刀," [dāo] knif<BR><BR>rank = 631
",,
1067,床,牀 床  ,2.0,1068,chuáng,,"bed, couch; framework, chassis",床," [chuáng] bed; 床单 chuángdān sheet; 河床 river be<BR><BR>rank = 1000
",床单; 河床,<span class=examplehanzi>床</span>单; 河<span class=examplehanzi>床</span>
1068,迎,,2.0,1069,yíng, yìng,"receive, welcome, greet",迎," [yíng] (欢迎 huānyíng) welcom<BR><BR>rank = 1024
",欢迎,欢<span class=examplehanzi>迎</span>
1069,冰,,3.0,1070,bīng, níng,ice; ice-cold,冰," [bīng] ice; 冰箱 bīngxiāng refrigerator; 冰凉 bīngliáng ice-cold; 冰岛 Bīngdǎo Iceland; 冰淇淋 bīngqilín icecrea<BR><BR>rank = 1059
",冰箱; 冰凉; 冰岛; 冰淇淋,<span class=examplehanzi>冰</span>箱; <span class=examplehanzi>冰</span>凉; <span class=examplehanzi>冰</span>岛; <span class=examplehanzi>冰</span>淇淋
1070,虚,虛   ,5.0,1071,xū, qū,FALSE,虚," [xū] empty, void; 谦虚 qiānxū modest; 虚心 xūxīn open-minded; 空虚 kōngxū hollo<BR><BR>rank = 961
",谦虚; 虚心; 空虚,谦<span class=examplehanzi>虚</span>; <span class=examplehanzi>虚</span>心; 空<span class=examplehanzi>虚</span>
1071,玩,,2.0,1072,wán, wàn,"play with, joke, enjoy",玩," [wán] play; 玩具 wánjù toy; 好玩儿 hǎowánr fu<BR><BR>rank = 869
",玩具; 好玩儿,<span class=examplehanzi>玩</span>具; 好<span class=examplehanzi>玩</span>儿
1072,析,,5.0,1073,xī,,split wood; break apart; divide,析," [xī] 分析 fēnxī analys<BR><BR>rank = 1392
",分析,分<span class=examplehanzi>析</span>
1073,窗,,4.0,1074,chuāng, cōng,window,窗," [chuāng] (=窗户 chuānghu, =窗口 chuāngkǒu) window; 窗帘 curtai<BR><BR>rank = 928
",窗户窗口; 窗帘,<span class=examplehanzi>窗</span>户<span class=examplehanzi>窗</span>口; <span class=examplehanzi>窗</span>帘
1074,醒,,4.0,1075,xǐng," xīng, chéng,jīng",wake up; sober up; startle,醒," [xǐng] become sober, wake up; 提醒 remin<BR><BR>rank = 1060
",提醒,提<span class=examplehanzi>醒</span>
1075,妻,,2.0,1076,qī, qì,wife,妻," [qī] (=妻子 qīzi) wif<BR><BR>rank = 955
",妻子,<span class=examplehanzi>妻</span>子
1076,透,,5.0,1077,tòu, shū,"penetrate, pass through",透," [tòu] penetrate, thorough; 透镜 tòujìng lens; 透明 transparen<BR><BR>rank = 1104
",透镜; 透明,<span class=examplehanzi>透</span>镜; <span class=examplehanzi>透</span>明
1077,购,購   ,4.0,1078,gòu,,"buy, purchase; hire",购," [gòu] (购买 gòumǎi) purchas<BR><BR>rank = 1150
",购买,<span class=examplehanzi>购</span>买
1078,替,,4.0,1079,tì,,"change, replace, substitute for",替," [tì] in place of; (代替 dàitì) replace, substitut<BR><BR>rank = 1230
",代替,代<span class=examplehanzi>替</span>
1079,塞,,6.0,1080,sāi," sè, sài","stop up, block, seal, cork; pass, frontier; fortress",塞," [sāi] fill in, stuff, cork<BR>[sè] (=堵塞 dǔsè) block up, obstruct<BR>[sài] place of strategic importance, border pas<BR><BR>rank = 1377
",堵塞,堵<span class=examplehanzi>塞</span>
1080,努,,3.0,1081,nǔ,,"to exert, strive, make an effort; to pout",努," [nǔ] 努力 nǔlì try har<BR><BR>rank = 1434
",努力,<span class=examplehanzi>努</span>力
1081,休,,2.0,1082,xiū,,"rest, stop; retire; do not!",休," [xiū] stop, (=休息 xiūxi) rest; 退休 retire; 休养所 rest hom<BR><BR>rank = 1111
",休息; 退休; 休养所,<span class=examplehanzi>休</span>息; 退<span class=examplehanzi>休</span>; <span class=examplehanzi>休</span>养所
1082,虎,,4.0,1083,hǔ, hù,"tiger; brave, fierce; surname",虎," [hǔ] (老虎 lǎohǔ) tiger<BR>[hū] 马马虎虎 mǎmahūhū<BR>[hù] 虎不拉 hùbulǎ &LT;zool.&GT; shrik<BR><BR>rank = 1239
",老虎; 马马虎虎; 虎不拉,老<span class=examplehanzi>虎</span>; 马马<span class=examplehanzi>虎</span><span class=examplehanzi>虎</span>; <span class=examplehanzi>虎</span>不拉
1083,扬,颺 揚  ,4.0,1084,yáng,,"scatter, spread; praise",扬," [yáng] raise; 发扬 fāyáng develop, promot<BR><BR>rank = 929
",发扬,发<span class=examplehanzi>扬</span>
1084,途,,5.0,1085,tú,,"way, road, path, journey; course",途," [tú] way, route; 前途 prospect; 途经 vi<BR><BR>rank = 1151
",前途; 途经,前<span class=examplehanzi>途</span>; <span class=examplehanzi>途</span>经
1085,侵,,5.0,1086,qīn,,"invade, encroach upon, raid",侵," [qīn] (=侵略 qīnlüè, =侵入 qīnrù) invade, intrude int<BR><BR>rank = 1451
",侵略侵入,<span class=examplehanzi>侵</span>略<span class=examplehanzi>侵</span>入
1086,刑,,6.0,1087,xíng,,"punishment, penalty; law",刑," [xíng] punishmen<BR><BR>rank = 1373
",,
1087,绿,綠   ,3.0,1088,lǜ, lù,green; chlorine,绿," [lǜ] (绿色 lǜsè) green<BR>[lù] (in some place names<BR><BR>rank = 1062
",绿色,<span class=examplehanzi>绿</span>色
1088,兄,,5.0,1089,xiōng,,elder brother,兄," [xiōng] (elder) brother; 兄弟 xiōngdì brothers<BR>{Compare with 儿(F兄) ér child and 只 zhǐ only<BR><BR>rank = 664
",兄弟,<span class=examplehanzi>兄</span>弟
1089,迅,,5.0,1090,xùn,,"quick, hasty, rapid, sudden",迅," [xùn] 迅速 xùnsù rapid, swif<BR><BR>rank = 1240
",迅速,<span class=examplehanzi>迅</span>速
1090,套,,5.0,1091,tào,,"case, cover, wrapper, envelope",套," [tào] set, cover; 手套 glove; 一套衣服 yí tào yīfu a (full) suit (of clothing<BR><BR>rank = 1002
",手套; 一套衣服,手<span class=examplehanzi>套</span>; 一<span class=examplehanzi>套</span>衣服
1091,贸,貿   ,5.0,1092,mào,,"trade, barter; mixed; rashly",贸," [mào] 贸易 màoyì trad<BR><BR>rank = 1309
",贸易,<span class=examplehanzi>贸</span>易
1092,毕,畢   ,4.0,1093,bì,,"end, finish, conclude; completed",毕," [bì] 毕业 bìyè graduate; 毕竟 bìjìng after al<BR><BR>rank = 947
",毕业; 毕竟,<span class=examplehanzi>毕</span>业; <span class=examplehanzi>毕</span>竟
1093,唯,,5.0,1094,wéi, wěi,only; yes,唯," [wéi] 唯物主义 wéiwùzhǔyì materialism<BR>[wěi] &LT;expressing acceptance of a request/command&GT<BR><BR>rank = 1139
",唯物主义,<span class=examplehanzi>唯</span>物主义
1094,谷,谷 穀  ,6.0,1095,gǔ," yù, lù","valley, gorge, ravine",谷," [gǔ] (山谷) valley; (F�Y) (=谷物 gǔwù) grain; 谷子 gǔzi mille<BR><BR>rank = 1197
",山谷; 谷物; 谷子,山<span class=examplehanzi>谷</span>; <span class=examplehanzi>谷</span>物; <span class=examplehanzi>谷</span>子
1095,轮,輪   ,5.0,1096,lún,,"wheel; revolve, turn; recur",轮," [lún] whee<BR><BR>rank = 1128
",,
1096,库,庫   ,5.0,1097,kù,,"armory, treasury, storehouse",库," [kù] warehouse; 数据库 shùjùkù databas<BR><BR>rank = 1056
",数据库,数据<span class=examplehanzi>库</span>
1097,迹,蹟 跡  ,5.0,1098,jī, jì,"traces, impressions, footprints",迹," [jì] (=痕迹 hénjì) mark, trace, vestige; 奇迹 qíjì miracl<BR><BR>rank = 1202
",痕迹; 奇迹,痕<span class=examplehanzi>迹</span>; 奇<span class=examplehanzi>迹</span>
1098,尤,,4.0,1099,yóu,,"especially, particularly",尤," [yóu] fault; outstanding; 尤其 yóuqí especiall<BR><BR>rank = 1330
",尤其,<span class=examplehanzi>尤</span>其
1099,竞,競   ,4.0,1100,jìng,,"contend, vie, compete",竞," [jìng] 竞争 jìngzhēng compete; 竞赛 contes<BR><BR>rank = 1224
",竞争; 竞赛,<span class=examplehanzi>竞</span>争; <span class=examplehanzi>竞</span>赛
1100,街,,3.0,1101,jiē,,"street, road, thoroughfare",街," [jiē] street; 街道 street, neighborhood; 街头 street-corne<BR><BR>rank = 757
",街道; 街头,<span class=examplehanzi>街</span>道; <span class=examplehanzi>街</span>头
1101,促,,5.0,1102,cù,,"urge, press, hurry; close",促," [cù] urge; urgent; 促进 cùjìn promote; 促使 cùshǐ impel, urg<BR><BR>rank = 1359
",促进; 促使,<span class=examplehanzi>促</span>进; <span class=examplehanzi>促</span>使
1102,延,,5.0,1103,yán,,"delay, postpone, defer",延," [yán] (延长 yáncháng) prolon<BR><BR>rank = 1238
",延长,<span class=examplehanzi>延</span>长
1103,震,,5.0,1104,zhèn, shēn,"shake, quake, tremor; excite",震," [zhèn] shake, shock; 地震 earthquak<BR><BR>rank = 1057
",地震,地<span class=examplehanzi>震</span>
1104,弃,棄   ,4.0,1105,qì,,"reject, abandon, discard",弃," [qì] (放弃 fàngqì, 抛弃 pāoqì) abandon, give u<BR><BR>rank = 1275
",放弃抛弃,放<span class=examplehanzi>弃</span>抛<span class=examplehanzi>弃</span>
1105,甲,,5.0,1106,jiǎ,,"armor, shell; fingernails; 1st heavenly stem",甲," [jiǎ] helmet; 指甲 zhījia fingernail; 甲虫 beetle<BR>{Compare with 申 shēn explain and 由 yóu from<BR><BR>rank = 1462
",指甲; 甲虫,指<span class=examplehanzi>甲</span>; <span class=examplehanzi>甲</span>虫
1106,伟,偉   ,5.0,1107,wěi,,"great, robust; extraordinary",伟," [wěi] (伟大) great, mighty; 宏伟 hóngwěi, 雄伟 xióngwěi gran<BR><BR>rank = 1083
",伟大; 宏伟雄伟,<span class=examplehanzi>伟</span>大; 宏<span class=examplehanzi>伟</span>雄<span class=examplehanzi>伟</span>
1107,麻,痳   ,4.0,1108,má, mā,"hemp, jute, flax; sesame",麻," [má] hemp, (=芝麻 zhīma) sesame; 麻烦 máfan bother<BR>[mā] 麻麻黑 māmahēi dusk; 乱麻麻 luànmāmā messy, disorderl<BR><BR>rank = 1102
",芝麻; 麻烦; 麻麻黑; 乱麻麻,芝<span class=examplehanzi>麻</span>; <span class=examplehanzi>麻</span>烦; <span class=examplehanzi>麻</span><span class=examplehanzi>麻</span>黑; 乱<span class=examplehanzi>麻</span><span class=examplehanzi>麻</span>
1108,川,,6.0,1109,chuān,,"stream, river; flow; boil",川," [chuān] river; 四川省 Sìchānshěng Sichuan Province; 冰川 bīngchuān glacie<BR><BR>rank = 1245
",四川省; 冰川,四<span class=examplehanzi>川</span>省; 冰<span class=examplehanzi>川</span>
1109,申,,4.0,1110,shēn,,"to state to a superior, report; extend; 9th terrestrial branch",申," [shēn] explain<BR>{Compare with 甲 jiǎ helmet and 由 yóu from<BR><BR>rank = 1017
",,
1110,缓,緩   ,5.0,1111,huǎn,,"slow, leisurely; to postpone, delay",缓," [huǎn] (缓慢 huǎnmàn) slo<BR><BR>rank = 1082
",缓慢,<span class=examplehanzi>缓</span>慢
1111,潜,潛   ,6.0,1112,qián,,"hide; hidden, secret, latent",潜," [qián] 潜水艇 qiánshuǐtǐng submarine; 潜力 qiánlì latent abilit<BR><BR>rank = 1599
",潜水艇; 潜力,<span class=examplehanzi>潜</span>水艇; <span class=examplehanzi>潜</span>力
1112,闪,閃   ,5.0,1113,shǎn,,"flash; avoid, dodge, evade",闪," [shǎn] (闪开) get out of the way, flash; 闪电 lightnin<BR><BR>rank = 1046
",闪开; 闪电,<span class=examplehanzi>闪</span>开; <span class=examplehanzi>闪</span>电
1113,售,,4.0,1114,shòu,,sell,售," [shòu] sell; 售货 sell good<BR><BR>rank = 1073
",售货,<span class=examplehanzi>售</span>货
1114,灯,燈   ,3.0,1115,dēng,,"lantern, lamp",灯," [dēng] lam<BR><BR>rank = 986
",,
1115,针,針   ,4.0,1116,zhēn,,needle; pin; tack; acupuncture,针," [zhēn] needle; 方针 policy; 针刺 zhēncì acupunctur<BR><BR>rank = 1222
",方针; 针刺,方<span class=examplehanzi>针</span>; <span class=examplehanzi>针</span>刺
1116,哲,,5.0,1117,zhé,,"wise, sagacious; wise man, sage",哲," [zhé] 哲学 zhéxué philosoph<BR><BR>rank = 1345
",哲学,<span class=examplehanzi>哲</span>学
1117,络,絡   ,6.0,1118,luò, lào,"enmesh, wrap around; web, net",络," [luò] net, twine<BR>[lào] 挂络 guàlào involvement, implicatio<BR><BR>rank = 813
",挂络,挂<span class=examplehanzi>络</span>
1118,抵,牴 抵  ,6.0,1119,dǐ,,"resist, oppose; deny; off-set",抵," [dǐ] support; (抵抗 dǐkàng) resis<BR><BR>rank = 1281
",抵抗,<span class=examplehanzi>抵</span>抗
1119,朱,,,1120,zhū, shú,"cinnabar, vermilion; surname",朱," [zhū] vermilion, bright re<BR><BR>rank = 1032
",,
1120,埃,,,1121,āi,,"fine dust, dirt",埃," [āi] dust, angstrom; 埃及 Aījí Egyp<BR><BR>rank = 1743
",埃及,<span class=examplehanzi>埃</span>及
1121,抱,,4.0,1122,bào,,"embrace, hold in arms, enfold",抱," [bào] hug, embrac<BR><BR>rank = 956
",,
1122,鼓,,4.0,1123,gǔ,,"drum; beat, top, strike",鼓," [gǔ] beat, play, drum, arouse<BR>[gū] 胖鼓鼓 pànggūgū fat, plump, full, bulgin<BR><BR>rank = 1120
",胖鼓鼓,胖<span class=examplehanzi>鼓</span><span class=examplehanzi>鼓</span>
1123,植,,4.0,1124,zhí,,"plant, trees, plants; grow",植," [zhí] to plant; 植物 zhíwù plan<BR><BR>rank = 1781
",植物,<span class=examplehanzi>植</span>物
1124,纯,純   ,5.0,1125,chún," quán, tún,zhūn, zhǔn","pure, clean, simple",纯," [chún] (纯洁 chúnjié) pure; (单纯 dānchún) simpl<BR><BR>rank = 1326
",纯洁; 单纯,<span class=examplehanzi>纯</span>洁; 单<span class=examplehanzi>纯</span>
1125,夏,,3.0,1126,xià, jiǎ,"summer; great, grand, big",夏," [xià] (=夏天 xiàtiān) summer; 春夏秋冬 chūnxiàqiūdōng the four season<BR><BR>rank = 687
",夏天; 春夏秋冬,<span class=examplehanzi>夏</span>天; 春<span class=examplehanzi>夏</span>秋冬
1126,忍,,5.0,1127,rěn,,"endure, bear, suffer; forbear",忍," [rěn] endure, tolerate; 忍不住 rénbuzhù can't bear, can't resis<BR><BR>rank = 973
",忍不住,<span class=examplehanzi>忍</span>不住
1127,页,頁   ,4.0,1128,yè,,"page, sheet, leaf; rad. no. 181",页," [yè] pag<BR><BR>rank = 1486
",,
1128,杰,杰 傑  ,6.0,1129,jié,,"hero; heroic, outstanding",杰," [jié] 杰出 outstanding; 杰作 masterpiec<BR><BR>rank = 1369
",杰出; 杰作,<span class=examplehanzi>杰</span>出; <span class=examplehanzi>杰</span>作
1129,筑,築 筑  ,5.0,1130,zhú, zhù,ancient lute; build,筑," [zhù] build, construct; 建筑学 architectur<BR><BR>rank = 1447
",建筑学,建<span class=examplehanzi>筑</span>学
1130,折,折 摺  ,4.0,1131,zhé," shé, zhē","break off, snap; bend",折," [zhé] fold; break; change direction<BR>[shé] break<BR>[zhē] turn ove<BR><BR>rank = 1072
",,
1131,郑,鄭   ,6.0,1132,zhèng,,state in today's Henan; surname,郑," [zhèng] &LT;family name&GT;; 郑重 zhèngzhòng serious, solem<BR><BR>rank = 1463
",郑重,<span class=examplehanzi>郑</span>重
1132,贝,貝   ,5.0,1133,bèi,,"sea shell; money, currency",贝," [bèi] shellfish; cowrie; (money); 贝壳 bèiké shell<BR>{Compare with 见 jiàn see<BR><BR>rank = 1338
",贝壳,<span class=examplehanzi>贝</span>壳
1133,尊,,4.0,1134,zūn,,"respect, revere, venerate; honor",尊," [zūn] (尊重, 尊敬) respec<BR><BR>rank = 1066
",尊重尊敬,<span class=examplehanzi>尊</span>重<span class=examplehanzi>尊</span>敬
1134,吴,,,1135,wú,,name of warring state; surname,吴," [Wú] &LT;family name&GT;, Wu Kingdom (222-280 A.D.<BR><BR>rank = 863
",,
1135,秀,,4.0,1136,xiù,,"ear of grain; flowering, luxuriant; refined, elegant, graceful",秀," [xiù] 优秀 yōuxiù excellent; 秀才 xiùcai schola<BR><BR>rank = 1025
",优秀; 秀才,优<span class=examplehanzi>秀</span>; <span class=examplehanzi>秀</span>才
1136,混,,6.0,1137,hùn," hǔn, hún, gǔn,kūn","to mix, blend, mingle; to bumble along",混," [hùn] mix up; 混乱 hùnluàn chaos<BR>[hún] muddy, muddle<BR><BR>rank = 1176
",混乱,<span class=examplehanzi>混</span>乱
1137,臣,,6.0,1138,chén,,"minister, statesman, official",臣," [chén] high official, overseer, (=大臣 dàchén) ministe<BR><BR>rank = 1572
",大臣,大<span class=examplehanzi>臣</span>
1138,雅,,6.0,1139,yǎ," yā, yá","elegant, graceful, refined",雅," [yǎ] 文雅 wényǎ cultured, refined; 雅致 yǎzhi elegant<BR>[yā] 鸦片 yāpiàn opiu<BR><BR>rank = 1192
",文雅; 雅致; 鸦片,文<span class=examplehanzi>雅</span>; <span class=examplehanzi>雅</span>致; 鸦片
1139,振,,5.0,1140,zhèn," zhēn, zhěn","raise, excite, arouse action",振," [zhèn] shake, stimulate; 振动 vibration; 振奋 inspir<BR><BR>rank = 1472
",振动; 振奋,<span class=examplehanzi>振</span>动; <span class=examplehanzi>振</span>奋
1140,染,,4.0,1141,rǎn,,dye; be contagious; infect,染," [rǎn] to dye; catch (disease); 染料 dye; 污染 pollutio<BR><BR>rank = 1419
",染料; 污染,<span class=examplehanzi>染</span>料; 污<span class=examplehanzi>染</span>
