,Character,Traditional,HSK,FrequencyRank,Pinyin 1,Pinyin 2,Definition,Hanzi,Zein.se definition,Example words,Formatted Words
2019,甜,,3.0,2020,tián,,"sweet, sweetness",甜," [tián] sweet; 甜菜 tiáncài bee<BR><BR>rank = 1856
",甜菜,<span class=examplehanzi>甜</span>菜
2020,霞,,6.0,2021,xiá,,rosy clouds,霞," [xiá] rosy cloud<BR><BR>rank = 1441
",,
2021,驳,駁   ,6.0,2022,bó,,"varicolored, variegated; mixed",驳," [bó] contradict; 驳斥 bóchì denounce; 反驳 fǎnbó refut<BR><BR>rank = 2314
",驳斥; 反驳,<span class=examplehanzi>驳</span>斥; 反<span class=examplehanzi>驳</span>
2022,裕,,6.0,2023,yù,,"abundant, rich, plentiful",裕," [yù] abundant, affluent; 富裕 fùyù rich, wealthy, opulen<BR><BR>rank = 2341
",富裕,富<span class=examplehanzi>裕</span>
2023,顽,頑   ,6.0,2024,wán,,"obstinate, stubborn; recalcitrant",顽," [wán] stupid, stubborn, naughty; 顽强 wánqiáng indomitable; 顽固 wángù obstinat<BR><BR>rank = 2100
",顽强; 顽固,<span class=examplehanzi>顽</span>强; <span class=examplehanzi>顽</span>固
2024,於,,,2025,yú," yū, wū","in, at, on; interjection alas!",於," [Yū] &LT;family name&GT;<BR>[wū] &LT;archaic&GT; sigh and exclaim<BR>[yú] (S于) in, at, to, from, by, tha<BR><BR>rank = 1518
",于,于
2025,摘,,5.0,2026,zhāi, zhé,"pluck, pick; select; specify",摘," [zhāi] pick, take off, selec<BR><BR>rank = 760
",,
2026,矮,,3.0,2027,ǎi,,"short, dwarf; low",矮," [ǎi] short (not tall), low; 矮子 ǎizi dwar<BR><BR>rank = 1987
",矮子,<span class=examplehanzi>矮</span>子
2027,秒,,5.0,2028,miǎo,,beard of grain or corn; a second,秒," [miǎo] second (1/60 of a 分 minute<BR><BR>rank = 2235
",分,分
2028,卿,,,2029,qīng,,"noble, high officer",卿," [qīng] minister or high official in ancient time<BR><BR>rank = 2392
",,
